MOON	50	100	150	200	250	300	350	400	450	500
MERCURY	700	900	1100	1300	1500	1700	1900	2100	2300	2500
VENUS	2900	3100	3300	3500	3700	3900	4100	4300	4500	4700
EARTH	5500	5700	5900	6100	6300	6500	6700	6900	7100	7300
MARS	8900	9100	9300	9500	9700	9900	10100	10300	10500	10700
JUPITER	13900	14100	14300	14500	14700	14900	15100	15300	15500	15700
NEPTURN	22100	22300	22500	22700	22900	23100	23300	23500	23700	23900
SATURN	36700	36900	37100	37300	37500	37700	37900	38100	38300	38500
URANUS	64100	64300	64500	64700	64900	65100	65300	65500	65700	65900
PLUTO	117100	117300	117500	117700	117900	118100	118300	118500	118700	118900
POSEIDON	221300	221500	221700	221900	222100	222300	222500	222700	222900	223100
ARTEMIS	427900	428100	428300	428500	428700	428900	429100	429300	429500	429700
HERCULES	839300	839500	839700	839900	840100	840300	840500	840700	840900	841100
HERA	1660300	1660500	1660700	1660900	1661100	1661300	1661500	1661700	1661900	1662100
UNICORN	3300500	3300700	3300900	3301100	3301300	3301500	3301700	3301900	3302100	3302300
STRANGE	6579100	6579300	6579500	6579700	6579900	6580100	6580300	6580500	6580700	6580900
INFERNO	13134500	13134700	13134900	13135100	13135300	13135500	13135700	13135900	13136100	13136300
NIGHTMARE	26243500	26243700	26243900	26244100	26244300	26244500	26244700	26244900	26245100	26245300
BLOODYP	52459700	52459900	52460100	52460300	52460500	52460700	52460900	52461100	52461300	52461500
ICEBALL	104890300	104890500	104890700	104890900	104891100	104891300	104891500	104891700	104891900	104892100
REDDUSK	209749700	209749900	209750100	209750300	209750500	209750700	209750900	209751100	209751300	209751500
THUNDER	419466700	419466900	419467100	419467300	419467500	419467700	419467900	419468100	419468300	419468500
STORM	838898900	838899100	838899300	838899500	838899700	838899900	838900100	838900300	838900500	838900700
