Level	Kích Thước (pixel)	Hp	Dame	Lực Hút	Khối Lượng	Vật Chất Cần Lên Level	Vật Chất Thu Được/5s	Số hành tinh quay quanh	Thời gian (s)	Phút	Giờ
1	40	100	999999999	50	200	50	2	1	125	2	0,03
2	70	150	999999999	51	300	80	3	2	133	2	0,04
3	90	200	999999999	52	400	90	4	3	113	2	0,03
4	110	350	999999999	53	500	125	5	4	125	2	0,03
5	130	550	999999999	54	600	153	6	5	127	2	0,04
6	150	850	999999999	55	700	201	7	6	144	2	0,04
7	170	1050	999999999	56	800	253	8	7	158	3	0,04
8	190	1300	999999999	57	900	328	9	8	182	3	0,05
9	210	1700	999999999	58	1000	417	10	9	209	3	0,06
10	230	2000	999999999	59	1100	536	11	10	244	4	0,07
11	250	2000	999999999	59	1100	536	11	11	244	4	0,07
12	270	2000	999999999	59	1100	536	11	12	244	4	0,07
13	290	2000	999999999	59	1100	536	11	13	244	4	0,07
14	310	2000	999999999	59	1100	536	11	14	244	4	0,07
15	330	2000	999999999	59	1100	536	11	15	244	4	0,07
16	350	2000	999999999	59	1100	536	11	16	244	4	0,07
17	370	2000	999999999	59	1100	536	11	17	244	4	0,07
18	390	2000	999999999	59	1100	536	11	18	244	4	0,07
19	410	2000	999999999	59	1100	536	11	19	244	4	0,07
20	430	2000	999999999	59	1100	536	11	20	244	4	0,07
21	450	2000	999999999	59	1100	536	11	21	244	4	0,07
22	470	2000	999999999	59	1100	536	11	22	244	4	0,07
23	490	2000	999999999	59	1100	536	11	23	244	4	0,07
