Level	Kích Thước (pixel)	Hp	Dame	Lực Hút	Khối Lượng	Vật Chất Cần Lên Level	Vật Chất Thu Được/5s	Số hành tinh quay quanh	Thời gian (s)	Phút	Giờ
1	30	100	999999999	200	200	50	2	1	1	2	0,03
2	40	150	999999999	200	300	80	3	2	2	2	0,04
3	50	200	999999999	200	400	90	4	3	3	2	0,03
4	60	450	999999999	200	500	125	5	4	4	2	0,03
5	70	750	999999999	200	600	153	6	5	5	2	0,04
6	80	850	999999999	200	700	201	7	6	6	2	0,04
7	90	1050	999999999	200	800	253	8	7	158	3	0,04
8	100	1300	999999999	200	900	328	9	8	182	3	0,05
9	110	1700	999999999	200	1000	417	9	9	209	3	0,06
10	120	2000	999999999	200	1100	536	10	10	244	4	0,07
11	130	2500	999999999	200	0	0	12	10	0	0	0
12	140	3000	999999999	200	0	0	10	10	0	0	
13	150	3500	999999999	200	0	0	0	10	0	0	0
14	160	4000	999999999	200	0	0	0	10	0	0	0
15	170	4500	999999999	200	0	0	0	10	0	0	0
16	180	5000	999999999	200	0	0	0	10	0	0	0
17	190	5500	999999999	66	0	0	0	10	0	0	0
18	200	6000	999999999	67	0	0	0	10	0	0	0
19	210	6500	999999999	68	0	0	0	10	0	0	0
20	220	7000	999999999	69	0	0	0	10	0	0	0
21	230	7500	999999999	70	0	0	0	10	0	0	0
22	240	8000	999999999	71	0	0	0	10	0	0	0
23	250	8500	999999999	72	0	0	0	10	0	0	0
